channel	time	viewers	likes	dislikes	video_c
TV Rain	1599409851.9004998	41391	29858	1610	0
Соловьёв LIVE	1599409852.460879	24510	4118	575	0
TV Rain	1599409882.9782946	41739	29873	1611	0
Соловьёв LIVE	1599409883.4817839	24520	4132	577	0
TV Rain	1599409914.002715	42007	29893	1612	0
Соловьёв LIVE	1599409914.4946098	24428	4168	582	0
TV Rain	1599409945.0247386	42286	29909	1612	0
Соловьёв LIVE	1599409945.4885	24467	4239	586	0
TV Rain	1599409976.0283344	42573	29925	1613	0
Соловьёв LIVE	1599409976.523433	24627	4269	591	0
TV Rain	1599410007.101527	42607	30088	1613	0
Соловьёв LIVE	1599410007.6930213	24677	4295	596	0
TV Rain	1599410038.2468798	42040	30296	1619	0
Соловьёв LIVE	1599410038.7275696	24709	4318	610	0
TV Rain	1599410069.2382476	41745	30346	1621	0
Соловьёв LIVE	1599410069.700718	24907	4333	617	0
TV Rain	1599410100.1567075	41654	30396	1626	0
Соловьёв LIVE	1599410100.5749967	25006	4365	622	0
TV Rain	1599410131.1406496	41660	30452	1629	0
Соловьёв LIVE	1599410131.6167777	24988	4389	628	0
TV Rain	1599410162.1054869	41541	30523	1633	0
Соловьёв LIVE	1599410162.5897286	25007	4415	631	0
TV Rain	1599410193.1565082	41645	30653	1635	0
Соловьёв LIVE	1599410193.637432	25105	4429	635	0
TV Rain	1599410224.0999265	41805	30759	1636	0
Соловьёв LIVE	1599410224.7011468	25121	4453	636	0
TV Rain	1599410255.2319405	41746	30791	1636	0
Соловьёв LIVE	1599410255.7551808	25157	4468	642	0
TV Rain	1599410286.2588158	41798	30824	1637	0
Соловьёв LIVE	1599410286.7261264	25109	4494	644	0
TV Rain	1599410317.2769408	41817	30851	1639	0
Соловьёв LIVE	1599410317.7704082	25189	4517	645	0
TV Rain	1599410348.3236442	41886	30869	1640	0
Соловьёв LIVE	1599410348.8506637	25174	4542	651	0
TV Rain	1599410379.3965285	41934	30890	1642	0
Соловьёв LIVE	1599410379.8672743	25131	4573	655	0
TV Rain	1599410410.3686604	42034	30902	1644	0
Соловьёв LIVE	1599410410.8637588	25157	4603	657	0
TV Rain	1599410441.3719282	41905	30923	1645	0
Соловьёв LIVE	1599410441.8206582	25201	4624	657	0
TV Rain	1599410472.2995148	41941	30934	1646	0
Соловьёв LIVE	1599410472.8273647	25273	4645	664	0
TV Rain	1599410503.336621	41866	30957	1647	0
Соловьёв LIVE	1599410503.8547485	25354	4685	669	0
TV Rain	1599410534.3649151	41817	30982	1649	0
Соловьёв LIVE	1599410534.9523716	25456	4699	671	0
TV Rain	1599410565.5991473	41499	30988	1649	0
Соловьёв LIVE	1599410566.0805795	25511	4725	673	0
TV Rain	1599410596.553283	41385	30994	1650	0
Соловьёв LIVE	1599410597.0260766	25790	4741	674	0
TV Rain	1599410627.6661336	41314	31008	1651	0
Соловьёв LIVE	1599410628.1895962	25920	4763	673	0
TV Rain	1599410658.7265692	41427	31024	1652	0
Соловьёв LIVE	1599410659.3501766	26078	4779	676	0
TV Rain	1599410689.8790517	41595	31038	1654	0
Соловьёв LIVE	1599410690.4012022	26220	4802	680	0
TV Rain	1599410720.9529989	41619	31053	1654	0
Соловьёв LIVE	1599410721.4458554	26192	4821	684	0
TV Rain	1599410751.9749796	41868	31068	1655	0
Соловьёв LIVE	1599410752.4678469	26115	4836	687	0
TV Rain	1599410782.9750962	42351	31076	1655	0
Соловьёв LIVE	1599410783.4743638	26129	4851	692	0
TV Rain	1599410814.0184517	42662	31094	1657	0
Соловьёв LIVE	1599410814.5116575	26204	4859	693	0
TV Rain	1599410845.0455961	42748	31120	1661	0
Соловьёв LIVE	1599410845.4599562	26237	4881	694	0
TV Rain	1599410875.991402	42662	31139	1661	0
Соловьёв LIVE	1599410876.4572484	26272	4896	694	0
TV Rain	1599410906.9484265	41529	31174	1663	0
Соловьёв LIVE	1599410907.4524002	26402	4910	697	0
TV Rain	1599410938.0666301	39668	31194	1665	0
Соловьёв LIVE	1599410938.5853844	26336	4928	697	0
TV Rain	1599410969.0896783	38969	31221	1666	0
Соловьёв LIVE	1599410969.6420677	26158	4952	701	0
TV Rain	1599411000.1683848	38989	31229	1669	0
Соловьёв LIVE	1599411000.7224796	26109	4979	701	0
TV Rain	1599411031.3323684	39214	31240	1671	0
Соловьёв LIVE	1599411031.823684	26170	4992	703	0
TV Rain	1599411062.3231144	39409	31252	1673	0
Соловьёв LIVE	1599411062.7866516	26183	5012	702	0
TV Rain	1599411093.3034296	39877	31278	1677	0
Соловьёв LIVE	1599411093.746123	26120	5030	704	0
TV Rain	1599411124.2738626	39811	31287	1678	0
Соловьёв LIVE	1599411124.7880971	26162	5051	705	0
TV Rain	1599411155.335014	39880	31295	1679	0
Соловьёв LIVE	1599411155.7918043	26323	5066	709	0
TV Rain	1599411186.3731217	39985	31308	1681	0
Соловьёв LIVE	1599411186.8374507	26516	5085	713	0
TV Rain	1599411217.4515305	40016	31323	1681	0
Соловьёв LIVE	1599411217.9273002	26575	5109	715	0
TV Rain	1599411248.4312813	40125	31341	1683	0
Соловьёв LIVE	1599411248.9515846	26637	5124	716	0
TV Rain	1599411279.4947147	40216	31363	1684	0
