clientId	timestamp	photo	authorName	message	value	is-member	channelId	channel	channel_name	video
CN6y8YSP6-sCFYdTmwodXRUKTg1600172830516	1600172830631927	https://yt3.ggpht.com/-kbGf5SON9rY/AAAAAAAAAAI/AAAAAAAAAAA/JuiihoFLN0A/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Mike Red	молотит и сопит 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CK7Xs56U6-sCFRJOsgodpW8NJw1600172834834	1600172830852360	https://yt3.ggpht.com/-kTqsfJ3fJFQ/AAAAAAAAAAI/AAAAAAAAAAA/hjx_Iw-DLzk/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Дмитрий Тумилович	всем прив.двай навэла-живи врагам на зло 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CKH4hIKU6-sCFYHzVQodT3EMfg0	1600172831308583	https://yt3.ggpht.com/-dhK2ff6QUZs/AAAAAAAAAAI/AAAAAAAAAAA/96N78DrrDyk/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Полин А	красивые люди 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CIn7hZaT6-sCFRLsVQod2iALBw-2	1600172832961547	https://yt3.ggpht.com/-2kk3FPnL_D4/AAAAAAAAAAI/AAAAAAAAAAA/JCnCmKjC8Ec/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Aleksandr Torhov	Даёшь перевыполнение плана по уничтожению санкционки! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CJ3Z3u6O6-sCFYXJVQodlpMNhA0	1600172833682975	https://yt3.ggpht.com/-tHlJeerSwMg/AAAAAAAAAAI/AAAAAAAAAAA/60cgb_sFUNQ/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Дядя Тоха	Ставим лайки люди штоб больше людей смотрели 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CNHbp4WU6-sCFQGx3godYJ8L0A1600172834135	1600172834627728	https://yt3.ggpht.com/-4sqgGOsVf4g/AAAAAAAAAAI/AAAAAAAAAAA/Sd7-YInVFCs/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Сергей Хилько	наша страна уже продана, остался лишь вопрос во времени.. 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CLH-p4WU6-sCFYpzmwodhWsI7A1600172912956	1600172837171416	https://yt3.ggpht.com/-OkGAARC20Bo/AAAAAAAAAAI/AAAAAAAAAAA/HiyVxcD1ICk/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Александр Саша	бла бла бла, толк? тратить время на бесмысленные разговоры у подъезда 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CLG7pfKT6-sCFQxGmwodqREKng1600172836805	1600172838618605	https://yt3.ggpht.com/-M_Rv0a5QYxg/AAAAAAAAAAI/AAAAAAAAAAA/p8dqrVj8IGQ/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Кот Анрей	как на белсат попасть 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CL-C-8mP6-sCFYzjVQod40AO_Q0	1600172839888540	https://yt3.ggpht.com/-DA6agrKsI40/AAAAAAAAAAI/AAAAAAAAAAA/8ie0xYdG_yQ/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Леонид Светлов	Обожаю этого ведущего 😂 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
COKngZaU6-sCFdnAEQgd5NQOTQ1600172839082	1600172839857657	https://yt3.ggpht.com/-VaMGwXOjLco/AAAAAAAAAAI/AAAAAAAAAAA/-GGQzIuk37M/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Саша Казак	до чего он жалок.... 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CMPHv82R6-sCFQPXVQodq_MPwQ0	1600172840516858	https://yt3.ggpht.com/-9z6xMZB6294/AAAAAAAAAAI/AAAAAAAAAAA/Y3XpfYXeBOA/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Valentina	САТАНА с ЛУКАВЫМ ведут народ в ад ! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CM_khoqR6-sCFcaQfAodhiQPfQ1	1600172843326365	https://yt3.ggpht.com/-dTX9CDs4zAo/AAAAAAAAAAI/AAAAAAAAAAA/GLUoRtzmcgo/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Y B	лука продал родину за 1,5 миллиарда 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
CLnoxNqO6-sCFYfIVQodp7QAJQ6	1600172848795109	https://yt3.ggpht.com/-7QMK8XxPSj8/AAAAAAAAAAI/AAAAAAAAAAA/N29S0Z6C5Us/s32-c-k-no-mo-rj-c0xffffff/photo.jpg	Modzho	Пусть Маша Борзунова расскажет что-нибудь! 		False		UCdubelOloxR3wzwJG9x8YqQ	Телеканал Дождь	-lo55cFYKdA
